Name,School Level,Suburb,Postcode
Yarra Junction Primary School,Primary,Yarra Junction,3797
Sassafras Primary School,Primary,Sassafras,3787
Ferny Creek Primary School,Primary,Ferny Creek,3786
Toolangi Primary School,Primary,Toolangi,3777
Wonga Park Primary School,Primary,Wonga Park,3115
Kinglake West Primary School,Primary,Kinglake West,3757
Perseverance Primary School,Primary,French Island,3921
Monbulk Primary School,Primary,Monbulk,3793
Lake Boga Primary School,Primary,Lake Boga,3584
Chum Creek Primary School,Primary,Chum Creek,3777
Mount Dandenong Primary School,Primary,Mount Dandenong,3767
Nullawil Primary School,Primary,Nullawil,3529
Badger Creek Primary School,Primary,Healesville,3777
Middle Kinglake Primary School,Primary,Kinglake Central,3757
Point Lonsdale Primary School,Primary,Point Lonsdale,3225
Kongwak Primary School,Primary,Kongwak,3951
Clarinda Primary School,Primary,Clarinda,3169
Chelsea Heights Primary School,Primary,Chelsea Heights,3196
Wallington Primary School,Primary,Wallington,3222
Tecoma Primary School,Primary,Tecoma,3160
Torquay P-6 College,Primary,Torquay,3228
Noorinbee Primary School,Primary,Noorinbee,3890
Woomelang Group School,Primary,Woomelang,3485
Emerald Primary School,Primary,Emerald,3782
Carrum Primary School,Primary,Carrum,3197
Nyora Primary School,Primary,Nyora,3987
Exford Primary School,Primary,Exford,3338
Ultima Primary School,Primary,Ultima,3544
Mount Waverley Primary School,Primary,Mount Waverley,3149
Marlo Primary School,Primary,Marlo,3888
Murrumbeena Primary School,Primary,Murrumbeena,3163
Wesburn Primary School,Primary,Wesburn,3799
Koorlong Primary School,Primary,Koorlong,3501
Warranwood Primary School,Primary,Warranwood,3134
Willowmavin Primary School,Primary,Willowmavin,3764
Olinda Primary School,Primary,Olinda,3788
Carlisle River Primary School,Primary,Carlisle River,3239
Spring Gully Primary School,Primary,Bendigo,3550
Mallacoota P-12 College,Pri/Sec,Mallacoota,3892
Langwarrin Primary School,Primary,Langwarrin,3910
Cockatoo Primary School,Primary,Cockatoo,3781
Tyabb Railway Station Primary School,Primary,Tyabb,3913
Belgrave South Primary School,Primary,Belgrave South,3160
Baltara School,Special,Thomastown,3074
Sydenham - Hillside Primary School,Primary,Sydenham,3037
Canterbury Primary School,Primary,Canterbury,3126
The Lake Primary School,Primary,Cabarita,3505
Grey Street Primary School (Traralgon),Primary,Traralgon,3844
Brunswick North Primary School,Primary,Brunswick West,3055
Fawkner Primary School,Primary,Fawkner,3060
Alphington Primary School,Primary,Alphington,3078
Austin Hospital School,Special,Heidelberg,3084
Bona Vista Primary School,Primary,Bona Vista,3820
Banyan Fields Primary School,Primary,Carrum Downs,3201
Norris Bank Primary School,Primary,Bundoora,3083
Macclesfield Primary School,Primary,Macclesfield,3782
Black Rock Primary School,Primary,Black Rock,3193
Mount Evelyn Primary School,Primary,Mount Evelyn,3796
Kilsyth Primary School,Primary,Kilsyth,3137
Wonthaggi Primary School,Primary,Wonthaggi,3995
Spotswood Primary School,Primary,Spotswood,3015
Clyde Primary School,Primary,Clyde,3978
Noble Park Primary School,Primary,Noble Park,3174
Deepdene Primary School,Primary,Balwyn,3103
Clifton Creek Primary School,Primary,Clifton Creek,3875
Kennington Primary School,Primary,Kennington,3550
Cardinia Primary School,Primary,Cardinia,3978
Grahamvale Primary School,Primary,Grahamvale,3631
Irymple South Primary School,Primary,Irymple,3498
Glen Huntly Primary School,Primary,Glen Huntly,3163
Nanneella Estate Primary School,Primary,Nanneella,3561
