Name,Suburb,Postcode,School Level
Mawson Lakes School,Mawson Lakes,5095,Primary Schools
Augusta Park Primary School,Port Augusta,5700,Primary Schools
Marion Primary School,Marion,5043,Primary Schools
Wandana Primary School,Gilles Plains,5086,Primary Schools
Kidman Park Primary School,Kidman Park,5025,Primary Schools
Adelaide East Education Centre,Paradise,5075,Secondary Special Schools
Yalata Anangu School,Yalata,5690,Anangu Schools
Amata Anangu School,Amata,872,Anangu Schools
Koonibba Aboriginal School,Koonibba,5690,Aboriginal Schools
West Beach Primary School,West Beach,5024,Primary Schools
Gawler East Primary School,Gawler East,5118,Primary Schools
Oak Valley Aboriginal School,Oak Valley,5690,Aboriginal Schools
Salisbury East High School,Salisbury East,5109,High/Secondary Schools
Northern Adelaide Senior College,Elizabeth,5112,High/Secondary Schools
Christies Beach HS & Southern Vocational College,Christie Downs,5164,High/Secondary Schools
SA School for Vision Impaired,Park Holme,5043,Primary Special Schools
Banksia Park School R-7,Banksia Park,5091,Primary Schools
Hospital School South Australia,North Adelaide,5006,Hospital Education Services
Glenelg Primary School,Glenelg East,5045,Primary Schools
Flagstaff Hill R-7 School,Flagstaff Hill,5159,Primary Schools
Christie Downs Primary School,Christie Downs,5164,Primary Schools
Melaleuca Park Primary School,Mount Gambier,5290,Primary Schools
McDonald Park School,Mount Gambier,5290,Primary Schools
Grange Primary School,Grange,5022,Primary Schools
Charles Campbell College,Paradise,5075,Primary/Secondary Schools
Edward John Eyre High School,Whyalla Norrie,5608,High/Secondary Schools
Ernabella Anangu School,Ernabella,872,Anangu Schools
East Adelaide School,St Peters,5069,Primary Schools
South Downs Primary School,Elizabeth Downs,5113,Primary Schools
Salisbury Primary School,Salisbury,5108,Primary Schools
East Marden Primary School,Campbelltown,5074,Primary Schools
Reynella South Primary School,Reynella,5161,Primary Schools
Para Hills West Primary School,Para Hills West,5096,Primary Schools
Modbury South Primary School,Hope Valley,5090,Primary Schools
Para Vista Primary School,Para Vista,5093,Primary Schools
Ridgehaven Primary School,Ridgehaven,5097,Primary Schools
Hallett Cove East Primary School,Hallett Cove,5158,Primary Schools
